Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges, time: 2013-02-17T20:52:53.079844, size: 58316 bytes, return code: 200, depth: 1
URL: http://sidearmsports.com, time: 2013-02-17T20:52:53.579709, size: 12414 bytes, return code: 200, depth: 1
URL: http://bestlawfirms.usnews.com/, time: 2013-02-17T20:52:53.689706, size: 50547 bytes, return code: 200, depth: 1
URL: http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools, time: 2013-02-17T20:52:55.562341, size: 65126 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-high-schools, time: 2013-02-17T20:52:55.615661, size: 47380 bytes, return code: 200, depth: 1
URL: http://vimeo.com/, time: 2013-02-17T20:52:56.307269, size: 35951 bytes, return code: 200, depth: 1
URL: http://vimeo.com/videoschool, time: 2013-02-17T20:52:56.963707, size: 62322 bytes, return code: 200, depth: 1
URL: http://vimeo.com/categories, time: 2013-02-17T20:52:57.810335, size: 32911 bytes, return code: 200, depth: 1
URL: http://vimeo.com/59691819, time: 2013-02-17T20:52:58.124629, size: 37390 bytes, return code: 200, depth: 1
URL: http://www.about.com/education/, time: 2013-02-17T20:52:58.408448, size: 24355 bytes, return code: 200, depth: 1
URL: http://vimeo.com/user5030084, time: 2013-02-17T20:52:58.584647, size: 32070 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/, time: 2013-02-17T20:52:58.622264, size: 30934 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/u/College-Preparation.htm, time: 2013-02-17T20:52:58.885347, size: 22849 bytes, return code: 200, depth: 1
URL: http://vimeo.com/user3947834, time: 2013-02-17T20:52:58.970031, size: 37401 bytes, return code: 200, depth: 1
URL: http://vimeo.com/album/2170905, time: 2013-02-17T20:52:59.247278, size: 33344 bytes, return code: 200, depth: 1
URL: https://twitter.com/, time: 2013-02-17T20:53:01.702828, size: 74261 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=id, time: 2013-02-17T20:53:03.819955, size: 215772 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=eu, time: 2013-02-17T20:53:05.781485, size: 216357 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=fil, time: 2013-02-17T20:53:06.769448, size: 216886 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=pl, time: 2013-02-17T20:53:09.521633, size: 216504 bytes, return code: 200, depth: 1
