Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://gonyupoly.com/news/2013/1/31/MVB_0131132405.aspx, time: 2013-02-17T21:02:04.958282, size: 19060 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/31/WBB_0131133926.aspx, time: 2013-02-17T21:02:05.218329, size: 20183 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/cars, time: 2013-02-17T21:02:05.834205, size: 38212 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/26/WBB_0126131657.aspx, time: 2013-02-17T21:02:06.091206, size: 19154 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/archives.aspx?path=, time: 2013-02-17T21:02:06.184510, size: 36789 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegerankings/tp/Top-Engineering-Schools.htm, time: 2013-02-17T21:02:06.286021, size: 34467 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about, time: 2013-02-17T21:02:06.382804, size: 17139 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University-194541#modularProfileScholarships, time: 2013-02-17T21:02:06.638939, size: 53010 bytes, return code: 200, depth: 1
URL: http://travel.usnews.com, time: 2013-02-17T21:02:06.955315, size: 88623 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegerankings/tp/Top-Universities.htm, time: 2013-02-17T21:02:07.169337, size: 34847 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/calendar.aspx?smallcal=true, time: 2013-02-17T21:02:07.275281, size: 19473 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/sat/f/goodsatscore.htm, time: 2013-02-17T21:02:07.677918, size: 28170 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges, time: 2013-02-17T21:02:08.289263, size: 58316 bytes, return code: 200, depth: 1
URL: http://www.livestream.com/poly_athletics?t=85363, time: 2013-02-17T21:02:09.027318, size: 38300 bytes, return code: 200, depth: 1
URL: http://bestlawfirms.usnews.com/, time: 2013-02-17T21:02:09.093333, size: 49072 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/photo_gallery.aspx, time: 2013-02-17T21:02:10.612615, size: 1971 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegeprofiles/p/suny-albany.htm, time: 2013-02-17T21:02:10.613882, size: 27595 bytes, return code: 200, depth: 1
URL: http://distancelearn.about.com/lw/Education/Home-schooling-Nontraditiona/Worcester-Polytechnic-Institute-Online-Profile.htm, time: 2013-02-17T21:02:10.693620, size: 21513 bytes, return code: 200, depth: 1
URL: http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools, time: 2013-02-17T21:02:11.265706, size: 65126 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-high-schools, time: 2013-02-17T21:02:11.413494, size: 47380 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/tp/11th-grade-college-preparation.htm, time: 2013-02-17T21:02:11.413562, size: 27156 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/College_Admissions_Timeline.htm, time: 2013-02-17T21:02:11.665501, size: 21621 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/worlds-best-universities-rankings, time: 2013-02-17T21:02:11.776746, size: 45252 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/phototours/Photo_Tours_of_College_Campuses.htm, time: 2013-02-17T21:02:11.948296, size: 25934 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/students, time: 2013-02-17T21:02:12.728915, size: 17987 bytes, return code: 200, depth: 1
URL: http://sidearmsports.com, time: 2013-02-17T21:02:13.233584, size: 12414 bytes, return code: 200, depth: 1
URL: http://www.skylineconference.org/, time: 2013-02-17T21:02:15.130733, size: 190424 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Talk:Polytechnic_Institute_of_New_York_University, time: 2013-02-17T21:02:16.572746, size: 126111 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Wikipedia:Avoid_weasel_words#Improving_weasel-worded_statements, time: 2013-02-17T21:02:16.859949, size: 88346 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Wikipedia:Citing_sources#Citation_styles, time: 2013-02-17T21:02:18.179206, size: 175119 bytes, return code: 200, depth: 1
URL: https://twitter.com/, time: 2013-02-17T21:02:18.760274, size: 74268 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=msa, time: 2013-02-17T21:02:20.064573, size: 216097 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=eu, time: 2013-02-17T21:02:21.382893, size: 216349 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=it, time: 2013-02-17T21:02:22.403283, size: 217016 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=nl, time: 2013-02-17T21:02:23.552078, size: 217672 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=fi, time: 2013-02-17T21:02:24.584008, size: 217901 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=tr, time: 2013-02-17T21:02:25.503592, size: 216665 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=fr, time: 2013-02-17T21:02:26.760235, size: 216831 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=uk, time: 2013-02-17T21:02:27.675576, size: 223419 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=fa, time: 2013-02-17T21:02:30.155201, size: 222630 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=zh-tw, time: 2013-02-17T21:02:31.604273, size: 215853 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=ur, time: 2013-02-17T21:02:31.769524, size: 223089 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly/followers, time: 2013-02-17T21:02:33.780162, size: 68728 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=ko, time: 2013-02-17T21:02:33.978105, size: 218321 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-graduate-schools/top-graduate-schools/polytechnic-institute-of-new-york-university-194541, time: 2013-02-17T21:02:34.455375, size: 37731 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796/photos, time: 2013-02-17T21:02:34.667379, size: 22612 bytes, return code: 200, depth: 1
URL: https://twitter.com/about, time: 2013-02-17T21:02:35.158151, size: 14562 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796/map, time: 2013-02-17T21:02:36.004750, size: 27855 bytes, return code: 200, depth: 1
URL: http://twitter.com/usnewseducation, time: 2013-02-17T21:02:36.974584, size: 210667 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796/rankings, time: 2013-02-17T21:02:37.270327, size: 43990 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/new-york-university-2785, time: 2013-02-17T21:02:37.570284, size: 55519 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-colleges/applying, time: 2013-02-17T21:02:37.961103, size: 49716 bytes, return code: 200, depth: 1
URL: http://twitter.com/#!/nyupoly, time: 2013-02-17T21:02:38.577989, size: 74175 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Wikipedia:REFLINKS, time: 2013-02-17T21:02:39.545076, size: 37053 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/cuny--city-college-2688, time: 2013-02-17T21:02:39.570206, size: 53295 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/New_York, time: 2013-02-17T21:02:46.905161, size: 365483 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/American_Chemical_Society, time: 2013-02-17T21:02:51.824686, size: 85363 bytes, return code: 200, depth: 1
URL: http://www.advertiseonabout.com/, time: 2013-02-17T21:02:53.556337, size: 26967 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Samuel_L._Greitzer, time: 2013-02-17T21:02:54.325514, size: 31152 bytes, return code: 200, depth: 1
URL: http://www.advertiseonabout.com/category/press-releases/, time: 2013-02-17T21:02:54.862611, size: 27686 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/MetroTech_Center, time: 2013-02-17T21:02:55.518441, size: 38102 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/NYU, time: 2013-02-17T21:02:58.549761, size: 330033 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/New_York_University_College_of_Arts_and_Sciences, time: 2013-02-17T21:03:11.221107, size: 76198 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Long_Island, time: 2013-02-17T21:03:13.560183, size: 294709 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Science_park, time: 2013-02-17T21:03:14.592738, size: 83945 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Wunsch_Building,_Polytechnic_Institute_of_New_York, time: 2013-02-17T21:03:15.142340, size: 30386 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/InterDigital, time: 2013-02-17T21:03:15.940979, size: 54025 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Science, time: 2013-02-17T21:03:17.807517, size: 267889 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Swarthmore_College, time: 2013-02-17T21:03:19.293850, size: 195444 bytes, return code: 200, depth: 1
URL: http://beaguide.about.com/, time: 2013-02-17T21:03:21.807743, size: 14347 bytes, return code: 200, depth: 1
URL: http://azlist.about.com/a.htm, time: 2013-02-17T21:03:22.230874, size: 20263 bytes, return code: 200, depth: 1
URL: http://spiderbites.about.com/sitemap.htm, time: 2013-02-17T21:03:22.242433, size: 98184 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/usnews/store/college_compass.htm?src=wid, time: 2013-02-17T21:03:23.836883, size: 7466 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-colleges/paying-for-college?s_cid=content-center:coll-directory, time: 2013-02-17T21:03:24.265752, size: 53823 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-institute-of-new-york-university-2796/jobs, time: 2013-02-17T21:03:24.336396, size: 25127 bytes, return code: 200, depth: 1
URL: http://aftercollege.com, time: 2013-02-17T21:03:24.347747, size: 88413 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-colleges/right-school?s_cid=content-center:coll-directory, time: 2013-02-17T21:03:26.079750, size: 49506 bytes, return code: 200, depth: 1
URL: http://mediakit.usnews.com/, time: 2013-02-17T21:03:26.167852, size: 4542 bytes, return code: 200, depth: 1
URL: http://jobs.about.com/, time: 2013-02-17T21:03:26.211318, size: 4103 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/usnews/usinfo/infomain.htm, time: 2013-02-17T21:03:26.631157, size: 22446 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/student-resources/registrar, time: 2013-02-17T21:03:26.798537, size: 17955 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/admissions, time: 2013-02-17T21:03:26.926898, size: 23444 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/academics/programs, time: 2013-02-17T21:03:27.180511, size: 50399 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/academics/textbooks, time: 2013-02-17T21:03:27.918849, size: 19133 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/academics/honors, time: 2013-02-17T21:03:28.111260, size: 21110 bytes, return code: 200, depth: 1
