Listing all pages crawled in BFS order for query: holiday, for n: 500
URL: http://www.merriam-webster.com/dictionary/holiday flag, time: 2013-02-15T11:09:09.387139, size: 87102 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/bank holiday, time: 2013-02-15T11:09:10.063183, size: 82745 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/blindman's holiday, time: 2013-02-15T11:09:10.636636, size: 65224 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/busman's holiday, time: 2013-02-15T11:09:11.000831, size: 62882 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/half-holiday, time: 2013-02-15T11:09:11.355631, size: 63024 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/High Holiday, time: 2013-02-15T11:09:11.868164, size: 98841 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/legal holiday, time: 2013-02-15T11:09:12.262736, size: 82108 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/national holiday, time: 2013-02-15T11:09:12.652418, size: 84976 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/Roman holiday, time: 2013-02-15T11:09:13.099739, size: 79383 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/holy+day, time: 2013-02-15T11:09:13.487067, size: 74696 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/vacation, time: 2013-02-15T11:09:14.102507, size: 78802 bytes, return code: 200, depth: 1
URL: http://www.learnersdictionary.com/search/holiday[1], time: 2013-02-15T11:09:14.347783, size: 22998 bytes, return code: 200, depth: 1
URL: http://www.wordcentral.com/cgi-bin/student?book=Student&va=holiday, time: 2013-02-15T11:09:14.825036, size: 6863 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/break, time: 2013-02-15T11:09:15.348130, size: 111970 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/hols, time: 2013-02-15T11:09:15.753398, size: 63568 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/leave, time: 2013-02-15T11:09:16.178411, size: 81212 bytes, return code: 200, depth: 1
URL: http://www.leadership.opm.gov/#content, time: 2013-02-15T11:09:17.058209, size: 78266 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/leaving/index.aspx?link=http://www.facebook.com/USOPM, time: 2013-02-15T11:10:58.107363, size: 84090 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/leaving/index.aspx?link=http://twitter.com/USOPM, time: 2013-02-15T11:11:17.738570, size: 84053 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/a-z-index/, time: 2013-02-15T11:11:35.709661, size: 98214 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/about-us/contact-us/, time: 2013-02-15T11:14:38.528086, size: 55183 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/forms/, time: 2013-02-15T11:14:38.653838, size: 44648 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/FAQs/, time: 2013-02-15T11:14:39.091545, size: 98356 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/current-status/, time: 2013-02-15T11:14:39.446298, size: 70623 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/, time: 2013-02-15T11:14:39.642672, size: 62156 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/about-us/, time: 2013-02-15T11:14:39.785942, size: 52836 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/policy-data-oversight/, time: 2013-02-15T11:14:40.281602, size: 70259 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/, time: 2013-02-15T11:14:40.469680, size: 77904 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/policy-data-oversight/disability-employment/hiring/, time: 2013-02-15T11:14:40.639541, size: 75169 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/healthcare-insurance/, time: 2013-02-15T11:14:40.798688, size: 55370 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/healthcare-insurance/life-insurance/program-information/, time: 2013-02-15T11:14:40.991176, size: 92797 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/healthcare-insurance/insurance-faqs/, time: 2013-02-15T11:14:41.243290, size: 113002 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/retirement-services/, time: 2013-02-15T11:14:41.411093, size: 55250 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/retirement-services/my-annuity-and-benefits/annuity-payments/tabs/cost-of-living/, time: 2013-02-15T11:14:41.710424, size: 72489 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/retirement-services/my-annuity-and-benefits/services-online/, time: 2013-02-15T11:14:41.864785, size: 50537 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/investigations/, time: 2013-02-15T11:14:42.044359, size: 54427 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/investigations/background-investigations/position-designation-tool/, time: 2013-02-15T11:14:42.590530, size: 62054 bytes, return code: 200, depth: 2
URL: https://www.opm.gov/services-for-agencies/, time: 2013-02-15T11:14:43.058360, size: 60433 bytes, return code: 200, depth: 2
URL: http://www.youtube.com/fedsunscripted, time: 2013-02-15T11:16:02.384998, size: 61254 bytes, return code: 200, depth: 2
URL: http://www.leadership.opm.gov/#toggle, time: 2013-02-15T11:16:03.379559, size: 78266 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/overview.asp, time: 2013-02-15T11:17:52.254991, size: 15815 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/mission.asp, time: 2013-02-15T11:17:54.636281, size: 9256 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/locations.asp, time: 2013-02-15T11:17:56.177402, size: 33949 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/report.asp, time: 2013-02-15T11:19:42.625078, size: 11097 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/contact.asp, time: 2013-02-15T11:19:44.212369, size: 10740 bytes, return code: 200, depth: 2
URL: http://www.feb.gov/links.asp, time: 2013-02-15T11:19:47.331521, size: 10414 bytes, return code: 200, depth: 2
URL: http://www.chcoc.gov/index.aspx, time: 2013-02-15T11:21:19.126505, size: 37483 bytes, return code: 200, depth: 2
URL: http://www.chcoc.gov/meetings/index.aspx, time: 2013-02-15T11:21:30.489546, size: 23434 bytes, return code: 200, depth: 2
URL: http://www.chcoc.gov/members/index.aspx, time: 2013-02-15T11:21:34.438964, size: 24036 bytes, return code: 200, depth: 2
URL: https://www.federalregister.gov/agencies/personnel-management-office#main, time: 2013-02-15T11:21:36.516680, size: 136052 bytes, return code: 200, depth: 2
URL: https://www.federalregister.gov/, time: 2013-02-15T11:21:37.998013, size: 134444 bytes, return code: 200, depth: 2
URL: https://www.federalregister.gov/money, time: 2013-02-15T11:22:00.517133, size: 325748 bytes, return code: 200, depth: 2
URL: https://www.federalregister.gov/environment, time: 2013-02-15T11:22:01.438378, size: 443666 bytes, return code: 200, depth: 2
URL: https://www.federalregister.gov/world, time: 2013-02-15T11:22:11.993274, size: 280180 bytes, return code: 200, depth: 2
URL: http://federalrelay.us/home, time: 2013-02-15T11:22:12.462479, size: 9440 bytes, return code: 200, depth: 2
URL: http://federalrelay.us/10-digit-numbering, time: 2013-02-15T11:22:12.560250, size: 8824 bytes, return code: 200, depth: 2
URL: http://fedvrs.us, time: 2013-02-15T11:22:13.789309, size: 7092 bytes, return code: 200, depth: 2
URL: http://federalrelay.us/relay-conference-captioning-rcc, time: 2013-02-15T11:22:14.223573, size: 10823 bytes, return code: 200, depth: 2
URL: http://federalrelay.us/captel, time: 2013-02-15T11:22:14.321995, size: 9636 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov#maincontent, time: 2013-02-15T11:22:16.104991, size: 27892 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Open-Government/Open-Government/, time: 2013-02-15T11:22:21.634804, size: 21658 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/International-Activities/International-Activities/, time: 2013-02-15T11:22:25.190602, size: 20768 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Media-Resources/Media-Resources/, time: 2013-02-15T11:22:33.935592, size: 21513 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Forms-Library/Forms-Library/, time: 2013-02-15T11:22:48.349856, size: 23162 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Website-Policies/Help--Guide-to-Building-Effective-Searches/, time: 2013-02-15T11:22:50.896540, size: 27959 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Topics/, time: 2013-02-15T11:22:53.857084, size: 22192 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Financial-Conflicts-of-Interest-and-Impartiality/Financial-Conflicts-of-Interest---Impartiality/, time: 2013-02-15T11:22:55.787546, size: 21663 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Gifts-and-Payments/Gifts---Payments/, time: 2013-02-15T11:22:56.426352, size: 24251 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Use-of-Government-Position-and-Resources/Use-of-Government-Position---Resources/, time: 2013-02-15T11:22:58.767213, size: 23229 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Outside-Employment-and-Activities/Outside-Employment---Activities/, time: 2013-02-15T11:23:00.654415, size: 23426 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Post-Government-Employment/Post-Government-Employment/, time: 2013-02-15T11:23:02.617613, size: 20149 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Selected-Employee-Categories/Selected-Employee-Categories/, time: 2013-02-15T11:23:05.170156, size: 20985 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/Topics/Enforcement/Enforcement/, time: 2013-02-15T11:23:11.834599, size: 27711 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/About/, time: 2013-02-15T11:23:15.244975, size: 21678 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Mission-and-Responsibilities/Mission---Responsibilities/, time: 2013-02-15T11:23:37.026414, size: 26547 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Organization/, time: 2013-02-15T11:23:42.715531, size: 21087 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Legislative-Affairs-and-Budget/Legislative-Affairs---Budget/, time: 2013-02-15T11:23:45.372093, size: 25971 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Careers/Careers/, time: 2013-02-15T11:24:12.139064, size: 19294 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Management-Reports-and-Policies/Management-Reports---Policies/, time: 2013-02-15T11:24:19.330583, size: 20847 bytes, return code: 200, depth: 2
URL: http://www.usoge.gov/About/Contact-Us/Contact-Us/, time: 2013-02-15T11:24:20.068064, size: 18570 bytes, return code: 200, depth: 2
URL: http://www.whitehouse.gov/omb/egov, time: 2013-02-15T11:24:20.568324, size: 48933 bytes, return code: 200, depth: 2
URL: http://www.regulations.gov/, time: 2013-02-15T11:24:23.463554, size: 2050 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/#home_main_content, time: 2013-02-15T11:24:23.940624, size: 30945 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/site-index.shtml, time: 2013-02-15T11:24:24.100791, size: 23281 bytes, return code: 200, depth: 2
URL: http://publications.usa.gov/, time: 2013-02-15T11:24:24.287422, size: 43720 bytes, return code: 200, depth: 2
URL: https://public.govdelivery.com/accounts/USAGOV/subscriber/new, time: 2013-02-15T11:24:25.631303, size: 4960 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/About/Change-Text.shtml, time: 2013-02-15T11:24:26.041948, size: 25096 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/gobiernousa/index.shtml, time: 2013-02-15T11:24:26.323209, size: 31119 bytes, return code: 200, depth: 2
URL: http://twitter.com/USAgov, time: 2013-02-15T11:24:27.687447, size: 215896 bytes, return code: 200, depth: 2
URL: http://www.youtube.com/USAGOV, time: 2013-02-15T11:24:29.190958, size: 123052 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov, time: 2013-02-15T11:24:29.983680, size: 51899 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/About/FEDINFO.shtml, time: 2013-02-15T11:24:30.342442, size: 23909 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Services.shtml, time: 2013-02-15T11:24:31.308425, size: 147762 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Government-Jobs.shtml, time: 2013-02-15T11:24:31.646809, size: 31060 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Services/Address-Changes.shtml, time: 2013-02-15T11:24:32.291536, size: 28977 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Contact/verify-social-media.shtml, time: 2013-02-15T11:24:32.801315, size: 23325 bytes, return code: 200, depth: 2
URL: http://travel.state.gov/passport/passport_1738.html, time: 2013-02-15T11:24:33.441126, size: 30147 bytes, return code: 200, depth: 2
