Listing all pages crawled in BFS order for query: love, for n: 500
URL: http://www.goodreads.com/friend, time: 2013-02-15T11:04:53.152921, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/recommendations, time: 2013-02-15T11:04:53.862704, size: 8073 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/genres, time: 2013-02-15T11:04:56.128709, size: 166683 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/list, time: 2013-02-15T11:04:57.235877, size: 37362 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/giveaway, time: 2013-02-15T11:05:00.610595, size: 175915 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/book/popular_by_date/2013/2, time: 2013-02-15T11:05:07.412470, size: 883481 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/voice, time: 2013-02-15T11:05:09.237486, size: 67917 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/ebooks, time: 2013-02-15T11:05:10.902651, size: 85373 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/trivia, time: 2013-02-15T11:05:11.472499, size: 23811 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/quizzes, time: 2013-02-15T11:05:12.473722, size: 55536 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/quotes, time: 2013-02-15T11:05:15.688750, size: 74798 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/group, time: 2013-02-15T11:05:16.208705, size: 56994 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/story, time: 2013-02-15T11:05:16.826676, size: 32916 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/user/online_now, time: 2013-02-15T11:05:17.411538, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/event, time: 2013-02-15T11:05:18.010812, size: 24694 bytes, return code: 200, depth: 1
URL: http://www.yourtango.com/user/login, time: 2013-02-15T11:05:18.886427, size: 28218 bytes, return code: 200, depth: 1
URL: http://www.yourtango.com/user/register, time: 2013-02-15T11:05:19.296231, size: 50771 bytes, return code: 200, depth: 1
URL: http://thelovemagazine.co.uk/main.php, time: 2013-02-15T11:05:19.672978, size: 8136 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/, time: 2013-02-15T11:05:24.593163, size: 102207 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/upload, time: 2013-02-15T11:05:37.827568, size: 75357 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/music?feature=guide, time: 2013-02-15T11:05:39.678371, size: 285008 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/sports?feature=guide, time: 2013-02-15T11:05:49.326902, size: 278265 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/gaming?feature=guide, time: 2013-02-15T11:05:50.350570, size: 255825 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/movies?feature=guide, time: 2013-02-15T11:05:52.141440, size: 569858 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/YouTubeShowsUS?feature=guide, time: 2013-02-15T11:05:53.844172, size: 651369 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/channel/HCPvDBPPFfuaM?feature=guide, time: 2013-02-15T11:05:54.565706, size: 178572 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UCBR8-60-B28hp2BmDPdntcQ?feature=guide, time: 2013-02-15T11:05:55.687436, size: 264649 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UCeTKJSW1NTAkf27nNmjWt5A, time: 2013-02-15T11:05:56.227439, size: 207831 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UCK7tptUDHh-RYDsdxO1-5QQ, time: 2013-02-15T11:05:56.866499, size: 201755 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UClFSU9_bUb4Rc6OYfTt5SPw, time: 2013-02-15T11:05:57.494370, size: 104914 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UCkzRDjtq4ngMADh45j2KsJQ, time: 2013-02-15T11:05:58.324022, size: 148807 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/feed/UCf4FYTsGFFcdc68AUPIU3RA, time: 2013-02-15T11:05:59.057268, size: 136367 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/channels?feature=guide, time: 2013-02-15T11:06:02.238014, size: 617404 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/artist/john-lennon?feature=watch_video_title, time: 2013-02-15T11:06:02.862431, size: 98104 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/user/xcosettex?feature=watch, time: 2013-02-15T11:06:03.157854, size: 69244 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/user/xcosettex/videos, time: 2013-02-15T11:06:03.465103, size: 90096 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/music, time: 2013-02-15T11:06:04.245817, size: 284668 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/policies/privacy/, time: 2013-02-15T11:06:05.048119, size: 23374 bytes, return code: 200, depth: 1
URL: http://www.google.com/tools/feedback/intl/en/error.html, time: 2013-02-15T11:06:13.585631, size: 1101 bytes, return code: 200, depth: 1
URL: https://twitter.com/, time: 2013-02-15T11:06:14.522794, size: 74283 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=id, time: 2013-02-15T11:06:23.220080, size: 72131 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=msa, time: 2013-02-15T11:06:24.179870, size: 72212 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=da, time: 2013-02-15T11:06:25.115448, size: 71904 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=de, time: 2013-02-15T11:06:26.031897, size: 72506 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=es, time: 2013-02-15T11:06:29.014855, size: 72276 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=eu, time: 2013-02-15T11:06:30.335206, size: 72253 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=fil, time: 2013-02-15T11:06:31.157228, size: 72561 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=it, time: 2013-02-15T11:06:32.010214, size: 72199 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=hu, time: 2013-02-15T11:06:32.852821, size: 72839 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=nl, time: 2013-02-15T11:06:33.660361, size: 72195 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=no, time: 2013-02-15T11:06:34.543246, size: 71927 bytes, return code: 200, depth: 1
