Listing all pages crawled in BFS order for query: happyhourmanhatton, for n: 30
number of files: 0, total size: 0.0 MB, total time: 3.6e-05 seconds, number of 404 errors: 0
Listing all pages crawled in BFS order for query: happy, for n: 30
URL: http://my.poly.edu, time: 2013-02-15T14:52:30.840471, size: 239 bytes, return code: 200, depth: 1
URL: http://psdata.poly.edu, time: 2013-02-15T14:52:30.846096, size: 286 bytes, return code: 200, depth: 1
URL: https://vpn-students.poly.edu/prx/000/http/localhost/login, time: 2013-02-15T14:52:30.871958, size: 2290 bytes, return code: 200, depth: 1
URL: http://catalog.poly.edu, time: 2013-02-15T14:52:31.940318, size: 33837 bytes, return code: 200, depth: 1
URL: http://www.nycmedialab.org/, time: 2013-02-15T14:52:39.547065, size: 32490 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/, time: 2013-02-15T14:53:24.948582, size: 4798 bytes, return code: 200, depth: 1
URL: http://webteam.poly.edu/support, time: 2013-02-15T14:53:25.268307, size: 2942 bytes, return code: 200, depth: 1
URL: http://nyu.edu, time: 2013-02-15T14:53:25.463064, size: 29196 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/page/simpleTour/simpleTourStudent.jsp, time: 2013-02-15T14:53:45.019088, size: 14654 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/page/account/createStudent.jsp, time: 2013-02-15T14:53:46.345417, size: 14129 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/page/account/login.jsp, time: 2013-02-15T14:53:47.559832, size: 13777 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/index.jsp, time: 2013-02-15T14:53:48.834691, size: 20090 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University, time: 2013-02-15T14:53:51.133468, size: 53010 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University#missionStatement, time: 2013-02-15T14:53:58.367039, size: 53010 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University#quickFacts, time: 2013-02-15T14:54:06.621539, size: 53010 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University#atAGlance, time: 2013-02-15T14:54:14.275576, size: 53010 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University#reviews, time: 2013-02-15T14:54:21.639151, size: 53010 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions, time: 2013-02-15T14:54:29.109673, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#WAMC, time: 2013-02-15T14:54:35.614756, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Scattergram, time: 2013-02-15T14:54:42.325154, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Requirements, time: 2013-02-15T14:54:49.407670, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Fees, time: 2013-02-15T14:54:55.847270, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Tests, time: 2013-02-15T14:55:02.142574, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Contact, time: 2013-02-15T14:55:09.334210, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/admissions#Reviews, time: 2013-02-15T14:55:15.678247, size: 100697 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/tuition-and-costs, time: 2013-02-15T14:55:22.817968, size: 44565 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/tuition-and-costs#yourPrice, time: 2013-02-15T14:55:28.346632, size: 44565 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University/tuition-and-costs#Projections, time: 2013-02-15T14:55:33.459387, size: 44565 bytes, return code: 200, depth: 1
URL: http://www.omniture.com, time: 2013-02-15T14:55:39.109832, size: 131710 bytes, return code: 200, depth: 1
URL: http://nct.digitalriver.com/fulfill/0165.835, time: 2013-02-15T14:56:07.171992, size: 20238 bytes, return code: 200, depth: 1
URL: http://blogs.forbes.com/help/, time: 2013-02-15T14:56:09.148674, size: 51334 bytes, return code: 200, depth: 1
URL: http://www.forbes.com, time: 2013-02-15T14:56:14.627220, size: 89998 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/real-time/, time: 2013-02-15T14:56:39.144053, size: 64475 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/most-popular/, time: 2013-02-15T14:56:52.565687, size: 75728 bytes, return code: 200, depth: 1
