Listing all pages crawled in BFS order for query: suel, for n: 500
URL: http://www.canonfire.com/wiki/index.php?title=Sean_K._Reynolds, time: 2013-02-17T20:23:04.039958, size: 24647 bytes, return code: 200, depth: 1
URL: http://en.m.wikipedia.org/wiki/Suel, time: 2013-02-17T20:23:04.608714, size: 9620 bytes, return code: 200, depth: 1
URL: http://wikimediafoundation.org/, time: 2013-02-17T20:23:05.855398, size: 43168 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/professional/, time: 2013-02-17T20:23:06.090326, size: 42080 bytes, return code: 200, depth: 1
URL: http://www.mediawiki.org/, time: 2013-02-17T20:23:06.121123, size: 47921 bytes, return code: 200, depth: 1
URL: http://www.businessweek.com, time: 2013-02-17T20:23:06.295986, size: 69759 bytes, return code: 200, depth: 1
URL: http://bba.bloomberg.net, time: 2013-02-17T20:23:06.436749, size: 9287 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/, time: 2013-02-17T20:23:06.436788, size: 172343 bytes, return code: 200, depth: 1
URL: http://www.poly.edu, time: 2013-02-17T20:23:06.829966, size: 23045 bytes, return code: 200, depth: 1
URL: http://www.bloombergbriefs.com/, time: 2013-02-17T20:23:07.538288, size: 44501 bytes, return code: 200, depth: 1
URL: http://about.bgov.com/, time: 2013-02-17T20:23:07.693052, size: 37843 bytes, return code: 200, depth: 1
URL: http://about.bloomberglaw.com/, time: 2013-02-17T20:23:07.808931, size: 38980 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/company/#tradebook, time: 2013-02-17T20:23:07.827124, size: 83692 bytes, return code: 200, depth: 1
URL: http://www.bna.com/, time: 2013-02-17T20:23:07.914461, size: 40649 bytes, return code: 200, depth: 1
URL: https://twitter.com/, time: 2013-02-17T20:23:23.623598, size: 74204 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Campaign_setting, time: 2013-02-17T20:23:24.235134, size: 53982 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=da, time: 2013-02-17T20:23:26.510858, size: 213290 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Roleplaying_game, time: 2013-02-17T20:23:27.609814, size: 94317 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=fil, time: 2013-02-17T20:23:29.498879, size: 213510 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=hu, time: 2013-02-17T20:23:31.005295, size: 213939 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=nl, time: 2013-02-17T20:23:32.616032, size: 214322 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Flan_(Greyhawk), time: 2013-02-17T20:23:33.047752, size: 33399 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=sv, time: 2013-02-17T20:23:34.243826, size: 212431 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Dwarf_(Dungeons_%26_Dragons), time: 2013-02-17T20:23:35.510874, size: 130894 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=tr, time: 2013-02-17T20:23:36.104536, size: 213445 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=fr, time: 2013-02-17T20:23:38.389239, size: 213535 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Thillonrian_Peninsula, time: 2013-02-17T20:23:38.605444, size: 139472 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Lordship_of_the_Isles_(Greyhawk), time: 2013-02-17T20:23:39.436060, size: 59853 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=cs, time: 2013-02-17T20:23:39.899840, size: 212598 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=ru, time: 2013-02-17T20:23:42.076290, size: 220590 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=uk, time: 2013-02-17T20:23:43.462066, size: 220022 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Lendore_Isles, time: 2013-02-17T20:23:44.077016, size: 33988 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=ar, time: 2013-02-17T20:23:45.923358, size: 219081 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Greyhawk_Wars, time: 2013-02-17T20:23:46.466270, size: 36274 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=hi, time: 2013-02-17T20:23:47.134147, size: 228241 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=ja, time: 2013-02-17T20:23:50.104983, size: 217717 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel?lang=zh-tw, time: 2013-02-17T20:23:50.719793, size: 212408 bytes, return code: 200, depth: 1
URL: https://twitter.com/account/complete, time: 2013-02-17T20:23:52.466697, size: 67675 bytes, return code: 200, depth: 1
URL: https://twitter.com/signup?context=login, time: 2013-02-17T20:23:53.478509, size: 104853 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel/following, time: 2013-02-17T20:23:57.119826, size: 68740 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Race_(classification_of_human_beings), time: 2013-02-17T20:23:58.605793, size: 395201 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Hepmonaland, time: 2013-02-17T20:23:59.425368, size: 33058 bytes, return code: 200, depth: 1
URL: https://twitter.com/about, time: 2013-02-17T20:24:00.031943, size: 14562 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Fjord, time: 2013-02-17T20:24:00.434851, size: 119814 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Baklunish, time: 2013-02-17T20:24:00.580801, size: 32114 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Albinism, time: 2013-02-17T20:24:01.544647, size: 133143 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Jascar, time: 2013-02-17T20:24:02.325045, size: 88304 bytes, return code: 200, depth: 1
URL: http://www.bnef.com/, time: 2013-02-17T20:24:04.103366, size: 48354 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/students, time: 2013-02-17T20:24:05.096613, size: 18070 bytes, return code: 200, depth: 2
URL: http://en.m.wikipedia.org/wiki/Suloise, time: 2013-02-17T20:24:05.124140, size: 22029 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/campus-transformation, time: 2013-02-17T20:24:09.523358, size: 12140 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/business/career, time: 2013-02-17T20:24:09.523492, size: 24188 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/node/295, time: 2013-02-17T20:24:09.709083, size: 19869 bytes, return code: 200, depth: 2
URL: http://library.poly.edu, time: 2013-02-17T20:24:10.938608, size: 40693 bytes, return code: 200, depth: 2
URL: http://www.wizards.com/dnd, time: 2013-02-17T20:24:11.807981, size: 37410 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-17T20:24:11.808091, size: 8429 bytes, return code: 200, depth: 1
