Listing all pages crawled in BFS order for query: python, for n: 500
URL: http://www.openbookproject.net/pybiblio/, time: 2013-02-15T11:09:29.529184, size: 9074 bytes, return code: 200, depth: 1
URL: http://osl.iu.edu/~lums/swc/, time: 2013-02-15T11:09:30.769465, size: 7759 bytes, return code: 200, depth: 1
URL: http://docs.python.org/howto/sockets.html, time: 2013-02-15T11:09:33.184165, size: 40982 bytes, return code: 200, depth: 1
URL: http://twistedmatrix.com/trac/, time: 2013-02-15T11:09:35.286117, size: 25210 bytes, return code: 200, depth: 1
URL: http://buildbot.net/trac, time: 2013-02-15T11:09:37.220210, size: 10834 bytes, return code: 200, depth: 1
URL: http://trac.edgewall.org/, time: 2013-02-15T11:09:39.652304, size: 15970 bytes, return code: 200, depth: 1
URL: http://roundup.sourceforge.net/, time: 2013-02-15T11:09:39.819856, size: 5792 bytes, return code: 200, depth: 1
URL: http://wiki.python.org/moin/IntegratedDevelopmentEnvironments, time: 2013-02-15T11:09:40.373990, size: 33765 bytes, return code: 200, depth: 1
URL: http://www.pygame.org/news.html, time: 2013-02-15T11:09:40.928717, size: 23787 bytes, return code: 200, depth: 1
URL: http://www.alobbs.com/pykyra, time: 2013-02-15T11:09:41.206462, size: 6631 bytes, return code: 200, depth: 1
URL: http://www.pycon.org/, time: 2013-02-15T11:09:41.535717, size: 11485 bytes, return code: 200, depth: 1
URL: http://pyfound.blogspot.com/2013/02/python-trademark-at-risk-in-europe-we.html, time: 2013-02-15T11:09:42.552294, size: 86805 bytes, return code: 200, depth: 1
URL: http://wiki.python.org/moin/WikiAttack2013, time: 2013-02-15T11:09:42.982879, size: 21481 bytes, return code: 200, depth: 1
URL: http://pyfound.blogspot.com/, time: 2013-02-15T11:09:43.575016, size: 178167 bytes, return code: 200, depth: 1
URL: http://www.numfocus.org/johnhunter, time: 2013-02-15T11:09:44.495511, size: 55341 bytes, return code: 200, depth: 1
URL: http://confoo.ca/, time: 2013-02-15T11:09:45.360681, size: 12757 bytes, return code: 200, depth: 1
URL: http://confoo.ca/en/call-for-papers, time: 2013-02-15T11:09:46.051007, size: 11233 bytes, return code: 200, depth: 1
URL: http://www.timparkin.co.uk/, time: 2013-02-15T11:09:46.896018, size: 19323 bytes, return code: 200, depth: 1
URL: http://ironpython.codeplex.com/, time: 2013-02-15T11:09:49.903890, size: 34009 bytes, return code: 200, depth: 1
URL: http://www.jython.org/, time: 2013-02-15T11:09:57.392444, size: 19232 bytes, return code: 200, depth: 1
URL: http://pypy.org/, time: 2013-02-15T11:09:57.889848, size: 5804 bytes, return code: 200, depth: 1
URL: http://speed.pypy.org, time: 2013-02-15T11:09:58.570000, size: 10388 bytes, return code: 200, depth: 1
URL: http://www.stackless.com/, time: 2013-02-15T11:09:59.112045, size: 11044 bytes, return code: 200, depth: 1
URL: http://www.activestate.com/activepython/, time: 2013-02-15T11:09:59.898238, size: 46981 bytes, return code: 200, depth: 1
URL: http://www.pythonxy.com/, time: 2013-02-15T11:10:01.405038, size: 15000 bytes, return code: 200, depth: 1
