Listing all pages crawled in BFS order for query: fortran, for n: 500
URL: http://www.webopedia.com/_email/email_a_colleague.html, time: 2013-02-15T11:56:44.439037, size: 23900 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/H/high_level_language.html, time: 2013-02-15T11:56:44.842543, size: 42648 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/I/IBM.html, time: 2013-02-15T11:56:45.249021, size: 41402 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/A/application.html, time: 2013-02-15T11:56:45.768975, size: 44486 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/S/standard.html, time: 2013-02-15T11:56:46.436012, size: 46836 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/A/ANSI.html, time: 2013-02-15T11:56:46.927181, size: 43171 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/F/feature.html, time: 2013-02-15T11:56:47.329932, size: 40889 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/I/ISO.html, time: 2013-02-15T11:56:47.738384, size: 43726 bytes, return code: 200, depth: 1
URL: http://www.faqs.org/faqs/fortran-faq/, time: 2013-02-15T11:56:48.284326, size: 262356 bytes, return code: 200, depth: 1
URL: http://www.polyhedron.co.uk/winnl.html, time: 2013-02-15T11:57:09.191265, size: 17652 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/fortran/market.html, time: 2013-02-15T11:57:09.396047, size: 433 bytes, return code: 200, depth: 1
URL: http://www.devx.com/ebook/Article/43108, time: 2013-02-15T11:57:10.520756, size: 50348 bytes, return code: 200, depth: 1
URL: http://twitter.com/WebopediaTech/, time: 2013-02-15T11:57:14.510039, size: 207263 bytes, return code: 200, depth: 1
URL: http://www.cs.mtu.edu/~shene/COURSES/cs201/NOTES/intro.html, time: 2013-02-15T11:57:16.992021, size: 5598 bytes, return code: 200, depth: 1
URL: http://www.cs.mtu.edu/~shene/COURSES/cs201/NOTES/select.html, time: 2013-02-15T11:57:17.860793, size: 5166 bytes, return code: 200, depth: 1
URL: http://aset.psu.edu/, time: 2013-02-15T11:57:18.139101, size: 7698 bytes, return code: 200, depth: 1
URL: http://gears.aset.psu.edu/, time: 2013-02-15T11:57:18.631307, size: 11040 bytes, return code: 200, depth: 1
URL: http://www.dmoz.org/Computers/Programming/Languages/Fortran, time: 2013-02-15T11:57:18.992944, size: 26430 bytes, return code: 200, depth: 1
URL: http://www.polyhedron.com/, time: 2013-02-15T11:57:19.462435, size: 11723 bytes, return code: 200, depth: 1
URL: http://www.cs.virginia.edu/stream/ref.html, time: 2013-02-15T11:57:19.580595, size: 22790 bytes, return code: 200, depth: 1
URL: http://www.fortranplus.co.uk/, time: 2013-02-15T11:57:20.098287, size: 6738 bytes, return code: 200, depth: 1
URL: http://www.neurophys.wisc.edu/ftp/pub/BENCH/, time: 2013-02-15T11:57:20.784411, size: 1151 bytes, return code: 200, depth: 1
URL: http://www.faqs.org/faqs/benchmark-faq/, time: 2013-02-15T11:57:21.047800, size: 7239 bytes, return code: 200, depth: 1
URL: http://www.vcpc.univie.ac.at/activities/tutorials/HPF/, time: 2013-02-15T11:59:54.692279, size: 3332 bytes, return code: 200, depth: 1
URL: http://www.netlib.org/benchmark/, time: 2013-02-15T11:59:54.987251, size: 6805 bytes, return code: 200, depth: 1
URL: http://netlib.amss.ac.cn/utk/people/JackDongarra/faq-linpack.html, time: 2013-02-15T12:01:15.152493, size: 221858 bytes, return code: 200, depth: 1
URL: http://www.tux.org/%7Emayer/linux/bmark.html, time: 2013-02-15T12:01:15.634001, size: 4332 bytes, return code: 200, depth: 1
URL: http://stat.fsu.edu/pub/diehard/, time: 2013-02-15T12:01:15.813857, size: 1223 bytes, return code: 200, depth: 1
URL: http://cag-www.lcs.mit.edu/raw/benchmark/README.html, time: 2013-02-15T12:01:16.267173, size: 2456 bytes, return code: 200, depth: 1
URL: http://www.spec.org/, time: 2013-02-15T12:01:21.818474, size: 19384 bytes, return code: 200, depth: 1
URL: http://www.cs.virginia.edu/stream/, time: 2013-02-15T12:01:21.902031, size: 15450 bytes, return code: 200, depth: 1
URL: http://www.intel.com/software/products/vtune/, time: 2013-02-15T12:01:23.378946, size: 94452 bytes, return code: 200, depth: 1
URL: http://jblevins.org/mirror/amiller/, time: 2013-02-15T12:01:23.496798, size: 58760 bytes, return code: 200, depth: 1
URL: http://www.fortran-2000.com/ArnaudRecipes/, time: 2013-02-15T12:01:23.707122, size: 3505 bytes, return code: 200, depth: 1
URL: http://www.semdesigns.com/, time: 2013-02-15T12:01:24.196299, size: 31358 bytes, return code: 200, depth: 1
URL: http://crd.lbl.gov/%7Edhbailey/mpdist/, time: 2013-02-15T12:01:26.224537, size: 10144 bytes, return code: 200, depth: 1
URL: http://users.erols.com/dnagle/index.html, time: 2013-02-15T12:01:26.357122, size: 6298 bytes, return code: 200, depth: 1
URL: http://myweb.lmu.edu/dmsmith/FMLIB.html, time: 2013-02-15T12:01:26.845650, size: 24120 bytes, return code: 200, depth: 1
URL: http://www.star.le.ac.uk/%7Ecgp/, time: 2013-02-15T12:01:27.602695, size: 1854 bytes, return code: 200, depth: 1
URL: http://lslwww.epfl.ch/%7Emoshes/selfrep/, time: 2013-02-15T12:01:31.236983, size: 93278 bytes, return code: 200, depth: 1
URL: http://users.erols.com/dnagle/preconv.html, time: 2013-02-15T12:01:31.313831, size: 6983 bytes, return code: 200, depth: 1
URL: http://www.crescentbaysoftware.com/vast_77to90.html, time: 2013-02-15T12:01:31.478770, size: 5819 bytes, return code: 200, depth: 1
URL: http://www2.hursley.ibm.com/decimal/, time: 2013-02-15T12:01:32.791058, size: 12961 bytes, return code: 200, depth: 1
URL: http://www.maths.uq.edu.au/expokit/, time: 2013-02-15T12:01:33.998290, size: 5736 bytes, return code: 200, depth: 1
URL: http://www.scitools.com/, time: 2013-02-15T12:01:34.568930, size: 7106 bytes, return code: 200, depth: 1
URL: http://www.simcon.uk.com, time: 2013-02-15T12:01:35.086324, size: 15154 bytes, return code: 200, depth: 1
URL: http://cobalt-blue.com, time: 2013-02-15T12:01:35.413573, size: 5996 bytes, return code: 200, depth: 1
URL: http://flibs.sf.net, time: 2013-02-15T12:01:35.925154, size: 20489 bytes, return code: 200, depth: 1
URL: http://www.netlib.org/floppy/contents.html, time: 2013-02-15T12:01:36.236503, size: 48413 bytes, return code: 200, depth: 1
URL: http://www.netlib.org/floppy/win32/, time: 2013-02-15T12:01:36.327874, size: 1200 bytes, return code: 200, depth: 1
URL: http://cimss.ssec.wisc.edu/~paulv/fft/fft_comparison.html, time: 2013-02-15T12:01:36.804773, size: 8045 bytes, return code: 200, depth: 1
URL: http://www.forcheck.nl/, time: 2013-02-15T12:01:45.317066, size: 10580 bytes, return code: 200, depth: 1
URL: http://www.dmoz.org/Computers/Programming/Languages/Fortran/Tools/Code_Analysis/, time: 2013-02-15T12:01:45.644587, size: 21083 bytes, return code: 200, depth: 1
URL: http://ftp.aset.psu.edu/pub/ger/fortran/hdk, time: 2013-02-15T12:01:47.495847, size: 18803 bytes, return code: 200, depth: 1
URL: http://www.csit.fsu.edu/%7Eburkardt/f_src/f_src.html, time: 2013-02-15T12:01:48.593603, size: 201071 bytes, return code: 200, depth: 1
URL: http://home.comcast.net/%7Ekmbtib/index.html, time: 2013-02-15T12:01:49.020651, size: 7385 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/fortran/, time: 2013-02-15T12:01:49.819589, size: 7033 bytes, return code: 200, depth: 1
URL: http://www.gwdg.de/%7Ejbehren/fpx3.html, time: 2013-02-15T12:01:53.409129, size: 50 bytes, return code: 200, depth: 1
URL: http://math.nist.gov/f90gl/, time: 2013-02-15T12:01:54.669854, size: 5246 bytes, return code: 200, depth: 1
URL: http://perso.wanadoo.fr/perois/f95gl.html, time: 2013-02-15T12:01:58.332434, size: 16080 bytes, return code: 200, depth: 1
URL: http://dss.ucar.edu/libraries/gbytes/, time: 2013-02-15T12:01:58.986704, size: 24002 bytes, return code: 200, depth: 1
URL: http://www.math.wsu.edu/math/faculty/genz/homepage, time: 2013-02-15T12:01:59.306712, size: 184 bytes, return code: 200, depth: 1
URL: http://burtleburtle.net/bob/hash/doobs.html, time: 2013-02-15T12:02:00.182813, size: 36229 bytes, return code: 200, depth: 1
URL: http://burtleburtle.net/bob/hash/evahash.html, time: 2013-02-15T12:02:00.288439, size: 25542 bytes, return code: 200, depth: 1
URL: http://www-cs-faculty.stanford.edu/%7Eknuth/, time: 2013-02-15T12:02:00.938343, size: 3670 bytes, return code: 200, depth: 1
URL: http://www.wolfram.com/products/applications/mathcodef90/, time: 2013-02-15T12:02:01.416589, size: 34682 bytes, return code: 200, depth: 1
URL: http://www.ma.utexas.edu/users/wfs/maxima.html, time: 2013-02-15T12:02:01.883906, size: 5124 bytes, return code: 200, depth: 1
URL: http://wwwinfo.cern.ch/asdoc/f90.html, time: 2013-02-15T12:02:04.465562, size: 1340 bytes, return code: 200, depth: 1
URL: http://www.ifremer.fr/ditigo/molagnon/fortran90/, time: 2013-02-15T12:02:04.705577, size: 3065 bytes, return code: 200, depth: 1
URL: http://www.ifremer.fr/ditigo/molagnon/fortran90/engfaq.html, time: 2013-02-15T12:02:06.359800, size: 52293 bytes, return code: 200, depth: 1
URL: http://www.ncsa.uiuc.edu/, time: 2013-02-15T12:02:09.428408, size: 15009 bytes, return code: 200, depth: 1
URL: http://www.math.utah.edu/%7Ebeebe/, time: 2013-02-15T12:02:09.836524, size: 34707 bytes, return code: 200, depth: 1
URL: http://www.math.utah.edu/%7Ebeebe/software/ndiff/, time: 2013-02-15T12:02:10.091583, size: 7466 bytes, return code: 200, depth: 1
URL: http://www.ma.utexas.edu/users/wfs/netmath/netmath.html, time: 2013-02-15T12:02:10.204100, size: 2187 bytes, return code: 200, depth: 1
URL: http://www.itl.nist.gov/div898/handbook/, time: 2013-02-15T12:02:10.919143, size: 487 bytes, return code: 200, depth: 1
URL: http://www.mathcom.com/, time: 2013-02-15T12:02:11.159439, size: 4108 bytes, return code: 200, depth: 1
URL: http://www.mines.edu/%7Evgriffit/NM/, time: 2013-02-15T12:02:12.109191, size: 813 bytes, return code: 200, depth: 1
URL: http://www.nr.com, time: 2013-02-15T12:02:12.641855, size: 19548 bytes, return code: 200, depth: 1
URL: http://www.numerical-recipes.com/forum/, time: 2013-02-15T12:02:14.695151, size: 57787 bytes, return code: 200, depth: 1
URL: http://www.opendx.org/addons.html, time: 2013-02-15T12:02:14.987752, size: 11151 bytes, return code: 200, depth: 1
URL: http://www.dmoz.org/Computers/Programming/Languages/Fortran/Source_Code/, time: 2013-02-15T12:02:15.318253, size: 49444 bytes, return code: 200, depth: 1
URL: http://www.coin-or.org/, time: 2013-02-15T12:02:15.660089, size: 8172 bytes, return code: 200, depth: 1
URL: http://dmoz.org/Science/Math/Operations_Research/, time: 2013-02-15T12:02:16.058702, size: 21108 bytes, return code: 200, depth: 1
URL: http://www.mat.univie.ac.at/%7Eneum/glopt.html, time: 2013-02-15T12:02:16.822216, size: 18900 bytes, return code: 200, depth: 1
URL: http://plato.la.asu.edu/guide.html, time: 2013-02-15T12:02:17.083786, size: 10683 bytes, return code: 200, depth: 1
URL: http://srfi.schemers.org/srfi-27/, time: 2013-02-15T12:03:36.603474, size: 1134 bytes, return code: 200, depth: 1
URL: http://www.randomnumbers.info/, time: 2013-02-15T12:03:40.349803, size: 4387 bytes, return code: 200, depth: 1
URL: http://www.robvanderwoude.com/index.html, time: 2013-02-15T12:03:42.239934, size: 9637 bytes, return code: 200, depth: 1
URL: http://indigo.ie/%7Emscott/, time: 2013-02-15T12:03:45.936971, size: 53297 bytes, return code: 200, depth: 1
URL: http://www.csit.fsu.edu/~burkardt/f_src/slatec/slatec.html, time: 2013-02-15T12:03:46.950510, size: 158839 bytes, return code: 200, depth: 1
URL: http://www.ansi.org/, time: 2013-02-15T12:03:54.579125, size: 35023 bytes, return code: 200, depth: 1
URL: http://www.secondmoment.org/, time: 2013-02-15T12:03:56.786992, size: 7163 bytes, return code: 200, depth: 1
URL: http://www.netlib.org/lapack/lug/node145.html, time: 2013-02-15T12:03:57.076781, size: 32132 bytes, return code: 200, depth: 1
URL: http://www.lanl.gov/Caesar/Caesar.html, time: 2013-02-15T12:03:58.581893, size: 12110 bytes, return code: 200, depth: 1
URL: http://www.cobalt-blue.com/, time: 2013-02-15T12:03:59.495564, size: 5996 bytes, return code: 200, depth: 1
URL: http://www.jiscmail.ac.uk/lists/comp-fortran-90.html, time: 2013-02-15T12:05:19.770501, size: 56556 bytes, return code: 200, depth: 1
URL: http://computer.org/, time: 2013-02-15T12:05:21.630210, size: 157978 bytes, return code: 200, depth: 1
URL: http://www.cradlefields.com/, time: 2013-02-15T12:05:22.494406, size: 22655 bytes, return code: 200, depth: 1
URL: http://www.etnus.com/, time: 2013-02-15T12:05:23.506423, size: 35488 bytes, return code: 200, depth: 1
URL: http://tapenade.inria.fr:8080/tapenade/index.jsp, time: 2013-02-15T12:05:25.256422, size: 5069 bytes, return code: 200, depth: 1
URL: http://www.semdesigns.com/Products/DMS/DMSToolkit.html, time: 2013-02-15T12:05:27.278554, size: 26470 bytes, return code: 200, depth: 1
URL: http://www.cleanscape.net/products/fortranlint/index.html, time: 2013-02-15T12:05:28.450655, size: 22546 bytes, return code: 200, depth: 1
URL: http://www.fortran2000.com/, time: 2013-02-15T12:05:29.264758, size: 26701 bytes, return code: 200, depth: 1
URL: http://www.donpac.ru/usr/golub/fortran/, time: 2013-02-15T12:05:33.090218, size: 75684 bytes, return code: 200, depth: 1
URL: http://www.fortranlib.com, time: 2013-02-15T12:05:33.354664, size: 13650 bytes, return code: 200, depth: 1
URL: http://www.j3-fortran.org/, time: 2013-02-15T12:05:33.733289, size: 339 bytes, return code: 200, depth: 1
URL: http://members.aol.com/wclodius/fortran_standards.html, time: 2013-02-15T12:05:35.157099, size: 15885 bytes, return code: 200, depth: 1
URL: http://www.nsc.liu.se/%7Eboein/fortran.html, time: 2013-02-15T12:05:35.508268, size: 9432 bytes, return code: 200, depth: 1
