Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://support.dogpile.com/pressroom/, time: 2013-02-17T20:42:54.858604, size: 25180 bytes, return code: 200, depth: 1
URL: http://www.thesearchenginelist.com/privacy-policy/, time: 2013-02-17T20:42:55.363666, size: 69064 bytes, return code: 200, depth: 1
URL: http://www.thesearchenginelist.com/video-search/, time: 2013-02-17T20:42:55.617920, size: 85622 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/support/privacypolicy, time: 2013-02-17T20:42:58.070001, size: 39660 bytes, return code: 200, depth: 1
URL: http://tools.search.yahoo.com/about/forsearchers.html, time: 2013-02-17T20:43:00.510730, size: 12873 bytes, return code: 200, depth: 1
URL: http://www.softpedia.com/get/Internet/Servers/Database-Utils/Locate32.shtml, time: 2013-02-17T20:43:01.018830, size: 54157 bytes, return code: 200, depth: 1
URL: http://www.google.com, time: 2013-02-17T20:43:01.054032, size: 95309 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/video, time: 2013-02-17T20:43:02.423102, size: 81455 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library, time: 2013-02-17T20:43:02.698926, size: 199153 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/top-news, time: 2013-02-17T20:43:03.847961, size: 96925 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/columns, time: 2013-02-17T20:43:04.918390, size: 82831 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library/google/google-seo, time: 2013-02-17T20:43:06.099071, size: 104649 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library/google/google-adwords, time: 2013-02-17T20:43:07.274602, size: 105267 bytes, return code: 200, depth: 1
URL: http://answers.yahoo.com/;_ylt=A0oG7pHvhiFRTzoA1kml87UF?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:43:08.313583, size: 83230 bytes, return code: 200, depth: 1
URL: http://marketingland.com, time: 2013-02-17T20:43:08.986412, size: 86561 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library/how-to/how-to-analytics, time: 2013-02-17T20:43:09.759764, size: 104144 bytes, return code: 200, depth: 1
URL: http://www.yahoo.com, time: 2013-02-17T20:43:10.069835, size: 312482 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library/how-to/how-to-links, time: 2013-02-17T20:43:11.286118, size: 103735 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/buyers-guides/enterprise-seo-tools-the-marketers-guide, time: 2013-02-17T20:43:12.153077, size: 68481 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/library/legal, time: 2013-02-17T20:43:13.285461, size: 106663 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/google-sends-hundreds-of-thousands-of-webmaster-notifications-each-month-90-are-black-hat-related-148524, time: 2013-02-17T20:43:14.395078, size: 109430 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/author/danny-sullivan, time: 2013-02-17T20:43:15.407503, size: 88890 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/searchcap-the-day-in-search-february-15-2013-148764, time: 2013-02-17T20:43:16.606324, size: 109476 bytes, return code: 200, depth: 1
