Listing all pages crawled in BFS order for query: ruby, for n: 500
URL: http://rubini.us, time: 2013-02-15T11:31:32.849244, size: 12370 bytes, return code: 200, depth: 1
URL: http://www.macruby.org, time: 2013-02-15T11:31:33.118161, size: 4498 bytes, return code: 200, depth: 1
URL: http://parrot.org, time: 2013-02-15T11:31:33.509188, size: 26697 bytes, return code: 200, depth: 1
URL: http://www.ironruby.net, time: 2013-02-15T11:31:34.031515, size: 8000 bytes, return code: 200, depth: 1
URL: http://ruby.gemstone.com, time: 2013-02-15T11:31:34.355490, size: 3099 bytes, return code: 200, depth: 1
URL: http://rubyspec.org, time: 2013-02-15T11:31:34.609360, size: 2630 bytes, return code: 200, depth: 1
URL: http://rubyonrails.org/download, time: 2013-02-15T11:31:34.704507, size: 4920 bytes, return code: 200, depth: 1
URL: http://weblog.rubyonrails.org/, time: 2013-02-15T11:31:34.866302, size: 63943 bytes, return code: 200, depth: 1
URL: http://weblog.rubyonrails.org/2013/1/8/Rails-3-2-11-3-1-10-3-0-19-and-2-3-15-have-been-released/, time: 2013-02-15T11:31:34.937273, size: 11113 bytes, return code: 200, depth: 1
URL: http://www.basecamphq.com?source=rails, time: 2013-02-15T11:31:35.169595, size: 12416 bytes, return code: 200, depth: 1
URL: http://www.twitter.com/, time: 2013-02-15T11:31:36.553337, size: 73587 bytes, return code: 200, depth: 1
URL: http://www.groupon.com/, time: 2013-02-15T11:31:37.902337, size: 30717 bytes, return code: 200, depth: 1
URL: http://www.shopify.com/, time: 2013-02-15T11:31:38.115178, size: 48250 bytes, return code: 200, depth: 1
URL: http://rubyonrails.org/applications, time: 2013-02-15T11:31:38.257838, size: 20381 bytes, return code: 200, depth: 1
URL: http://david.heinemeierhansson.com/, time: 2013-02-15T11:31:38.432718, size: 7997 bytes, return code: 200, depth: 1
URL: http://rubyonrails.org/core, time: 2013-02-15T11:31:38.610497, size: 12303 bytes, return code: 200, depth: 1
URL: http://contributors.rubyonrails.org, time: 2013-02-15T11:31:40.059204, size: 689322 bytes, return code: 200, depth: 1
URL: http://www.37signals.com, time: 2013-02-15T11:31:40.774013, size: 15091 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/core, time: 2013-02-15T11:31:41.947803, size: 221225 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/stdlib, time: 2013-02-15T11:31:42.444804, size: 230 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/gems, time: 2013-02-15T11:31:42.777565, size: 12784 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/downloads, time: 2013-02-15T11:31:43.110051, size: 13102 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/core-mruby/, time: 2013-02-15T11:31:43.368987, size: 15395 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/gettingstarted, time: 2013-02-15T11:31:43.661538, size: 10367 bytes, return code: 200, depth: 1
URL: http://docs.ruby-doc.com/docs/ProgrammingRuby/, time: 2013-02-15T11:31:43.896618, size: 489 bytes, return code: 200, depth: 1
URL: http://neurogami.com/content/10_minutes_to_your_first_Ruby_app, time: 2013-02-15T11:31:44.439822, size: 49320 bytes, return code: 200, depth: 1
URL: http://blog.rubybestpractices.com/posts/gregory/022-rbp-now-open.html, time: 2013-02-15T11:31:44.687202, size: 10163 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/docs, time: 2013-02-15T11:31:44.967273, size: 8770 bytes, return code: 200, depth: 1
URL: https://practicingruby.com, time: 2013-02-15T11:31:45.311650, size: 4328 bytes, return code: 200, depth: 1
URL: http://blog.rubybestpractices.com/about/gregory.html, time: 2013-02-15T11:31:45.425368, size: 5578 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/whyruby, time: 2013-02-15T11:31:45.751782, size: 10057 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/fr, time: 2013-02-15T11:31:46.092442, size: 6969 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/de, time: 2013-02-15T11:31:46.451279, size: 6463 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/bg, time: 2013-02-15T11:31:46.755676, size: 6535 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/es, time: 2013-02-15T11:31:47.086669, size: 6380 bytes, return code: 200, depth: 1
URL: http://books.ruby-doc.com/bookstore, time: 2013-02-15T11:31:47.820187, size: 6132 bytes, return code: 200, depth: 1
URL: http://books.ruby-doc.com/bookstore#0974514055, time: 2013-02-15T11:31:48.085154, size: 6132 bytes, return code: 200, depth: 1
URL: http://books.ruby-doc.com/bookstore#0672320835, time: 2013-02-15T11:31:48.359840, size: 6132 bytes, return code: 200, depth: 1
URL: http://books.ruby-doc.com/bookstore#0976694042, time: 2013-02-15T11:31:48.631315, size: 6132 bytes, return code: 200, depth: 1
URL: http://www.cafepress.com/rubystuff, time: 2013-02-15T11:31:49.079798, size: 36900 bytes, return code: 200, depth: 1
URL: http://www.cafepress.com/rubystuff/s__t-shirts, time: 2013-02-15T11:31:51.597253, size: 80289 bytes, return code: 200, depth: 1
URL: http://www.cafepress.com/rubystuff/s__mugs, time: 2013-02-15T11:31:57.544914, size: 55308 bytes, return code: 200, depth: 1
URL: http://www.cafepress.com/rubystuff/s__mousepads, time: 2013-02-15T11:31:58.766746, size: 39255 bytes, return code: 200, depth: 1
URL: http://www.cafepress.com/rubystuff/s__underwear-panties, time: 2013-02-15T11:31:59.421787, size: 46984 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/docbar/, time: 2013-02-15T11:31:59.667906, size: 6596 bytes, return code: 200, depth: 1
URL: http://ruby-doc.org/documentation-guidelines.html, time: 2013-02-15T11:31:59.841916, size: 10061 bytes, return code: 200, depth: 1
URL: http://www.jamesbritt.com, time: 2013-02-15T11:32:00.318987, size: 62197 bytes, return code: 200, depth: 1
URL: http://www.neurogami.com, time: 2013-02-15T11:32:00.534545, size: 4511 bytes, return code: 200, depth: 1
URL: http://www.ruby-doc.org/docs/ProgrammingRuby/pr_toc.html, time: 2013-02-15T11:32:00.728821, size: 2063 bytes, return code: 200, depth: 1
URL: http://www.ruby-doc.org/docs/ProgrammingRuby/pr_idx.html, time: 2013-02-15T11:32:01.111954, size: 102189 bytes, return code: 200, depth: 1
URL: http://www.ruby-doc.org/docs/ProgrammingRuby/html/preface.html, time: 2013-02-15T11:32:01.474128, size: 26139 bytes, return code: 200, depth: 1
URL: http://www.ruby-doc.org/docs/ProgrammingRuby/html/index.html, time: 2013-02-15T11:32:01.611964, size: 4406 bytes, return code: 200, depth: 1
URL: http://www.codeschool.com/, time: 2013-02-15T11:32:02.153777, size: 13465 bytes, return code: 200, depth: 1
URL: https://www.codeschool.com/cart/item/18/add, time: 2013-02-15T11:32:35.113973, size: 7624 bytes, return code: 200, depth: 1
URL: http://rubykoans.com/online, time: 2013-02-15T11:32:35.359165, size: 9848 bytes, return code: 200, depth: 1
URL: http://rubykoans.com/windows, time: 2013-02-15T11:32:35.741838, size: 16803 bytes, return code: 200, depth: 1
URL: http://rubykoans.com/#main_content, time: 2013-02-15T11:32:35.806635, size: 15272 bytes, return code: 200, depth: 1
URL: http://neo.com, time: 2013-02-15T11:32:35.947159, size: 8520 bytes, return code: 200, depth: 1
URL: http://rubykoans.com/windows#installing_ruby, time: 2013-02-15T11:32:35.999911, size: 16803 bytes, return code: 200, depth: 1
URL: http://www.jetbrains.com/ruby, time: 2013-02-15T11:32:37.390584, size: 31032 bytes, return code: 200, depth: 1
URL: http://code.google.com/p/macvim, time: 2013-02-15T11:32:38.008509, size: 13937 bytes, return code: 200, depth: 1
URL: http://www.jedit.org, time: 2013-02-15T11:32:38.442198, size: 11353 bytes, return code: 200, depth: 1
URL: http://macromates.com, time: 2013-02-15T11:32:38.858649, size: 9099 bytes, return code: 200, depth: 1
URL: http://rubykoans.com/windows#the_path, time: 2013-02-15T11:32:38.919401, size: 16803 bytes, return code: 200, depth: 1
URL: http://twitter.com/jimweirich, time: 2013-02-15T11:32:41.301607, size: 207764 bytes, return code: 200, depth: 1
URL: http://twitter.com/objo, time: 2013-02-15T11:32:43.197704, size: 212115 bytes, return code: 200, depth: 1
URL: http://clarkware.com/cgi/blosxom/2005/03/18, time: 2013-02-15T11:32:43.624382, size: 13692 bytes, return code: 200, depth: 1
URL: http://rubyquiz.com/quiz67.html, time: 2013-02-15T11:32:45.559900, size: 31975 bytes, return code: 200, depth: 1
URL: http://amazon.com/Little-LISPer-Third-Daniel-Friedman/dp/0023397632, time: 2013-02-15T11:32:46.941236, size: 390579 bytes, return code: 200, depth: 1
URL: http://pragprog.com/titles/ruby/programming-ruby, time: 2013-02-15T11:32:47.738550, size: 29777 bytes, return code: 200, depth: 1
URL: http://pragprog.com/titles/bmsft/everyday-scripting-with-ruby, time: 2013-02-15T11:32:48.607428, size: 26051 bytes, return code: 200, depth: 1
URL: http://twitter.com/RubysDiner, time: 2013-02-15T11:32:49.314837, size: 207736 bytes, return code: 200, depth: 1
URL: http://rubymonk.com/, time: 2013-02-15T11:32:50.588044, size: 6639 bytes, return code: 200, depth: 2
URL: http://hackety-hack.com/, time: 2013-02-15T11:32:50.944613, size: 4117 bytes, return code: 200, depth: 2
URL: http://mislav.uniqpath.com/poignant-guide/, time: 2013-02-15T11:32:51.414223, size: 2551 bytes, return code: 200, depth: 2
URL: http://rubylearning.com/, time: 2013-02-15T11:32:51.594330, size: 10530 bytes, return code: 200, depth: 2
URL: http://www.techotopia.com/index.php/Ruby_Essentials, time: 2013-02-15T11:32:51.994023, size: 36048 bytes, return code: 200, depth: 2
URL: http://pine.fm/LearnToProgram/, time: 2013-02-15T11:32:52.422292, size: 15157 bytes, return code: 200, depth: 2
URL: http://pragmaticprogrammer.com/titles/ruby/index.html, time: 2013-02-15T11:32:53.281539, size: 29777 bytes, return code: 200, depth: 2
URL: http://www.rubyist.net/~slagell/ruby/, time: 2013-02-15T11:32:54.551080, size: 6458 bytes, return code: 200, depth: 2
URL: http://www.ruby-doc.org/core, time: 2013-02-15T11:32:55.356439, size: 221225 bytes, return code: 200, depth: 2
