Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://www.thestreet.com/story/11842652/1/citigroups-tax-benefit-at-55-billion-and-rising-raises-questions-and-causes-concerns.html?puc=CNNMONEY&cm_ven=CNNMONEY, time: 2013-02-17T20:05:05.344092, size: 80367 bytes, return code: 200, depth: 1
URL: http://beta.fool.com/insidermonkey/2013/02/14/hedge-fund-kahn-brothers-stock-picks-2013/24448/?logvisit=y&published=2013-02-14&source=eptcnnlnk0000001, time: 2013-02-17T20:05:05.621828, size: 41783 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/quote/quote.html?symb=WBK, time: 2013-02-17T20:05:06.303464, size: 42433 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92804/foreclosure-activity-dawdling, time: 2013-02-17T20:05:06.609840, size: 69492 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92770/citi-to-fire-50-investment-bankers, time: 2013-02-17T20:05:06.691158, size: 69152 bytes, return code: 200, depth: 1
URL: https://secure.marketwatch.com/user/account/logon, time: 2013-02-17T20:05:06.906831, size: 7254 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/game?link=MW_Nav_GA, time: 2013-02-17T20:05:07.158732, size: 39386 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/quote/quote.html?symb=RY, time: 2013-02-17T20:05:07.282621, size: 43225 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/futures, time: 2013-02-17T20:05:08.588633, size: 86784 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/finance/;_ylt=A0wNcuYhfiFRKrkA5wEnv7gF, time: 2013-02-17T20:05:09.126835, size: 48844 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/board.html, time: 2013-02-17T20:05:09.218564, size: 22721 bytes, return code: 200, depth: 1
URL: http://faq.cprogramming.com/cgi-bin/smartfaq.cgi, time: 2013-02-17T20:05:09.274205, size: 35010 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/tutorial/common.html, time: 2013-02-17T20:05:09.973726, size: 26608 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/beginner_programming_mistakes.html, time: 2013-02-17T20:05:10.172799, size: 29876 bytes, return code: 200, depth: 1
